species,locality
Abrothrix_longipilis,Andes_virus
Abrothrix_olivaceus,Andes_virus
Abrothrix_sanborni,Andes_virus
Acerodon_celebensis,PREDICT_MAstV-136
Acerodon_jubatus,Filovirus
Acinonyx_jubatus,African_horse_sickness_virus
Acinonyx_jubatus,Bluetongue_virus
Acinonyx_jubatus,Cowpox_virus
Acinonyx_jubatus,Feline_astrovirus
Acinonyx_jubatus,Feline_calicivirus
Acinonyx_jubatus,Feline_coronavirus
Acinonyx_jubatus,Rabies_virus
Acinonyx_jubatus,Rift_Valley_fever_virus
Acomys_cahirinus,West_Nile_virus
Acomys_dimidiatus,West_Nile_virus
Aepyceros_melampus,Akabane_virus
Aepyceros_melampus,Alcelaphine_herpesvirus_2
Aepyceros_melampus,Bhanja_virus
Aepyceros_melampus,Bluetongue_virus
Aepyceros_melampus,Bovine_viral_diarrhea_virus_1
Aepyceros_melampus,Crimean-Congo_hemorrhagic_fever_virus
Aepyceros_melampus,Foot-and-mouth_disease_virus
Aepyceros_melampus,Lumpy_skin_disease_virus
Aepyceros_melampus,Rift_Valley_fever_virus
Aepyceros_melampus,Rinderpest_virus
Aepyceros_melampus,Zika_virus
Aethomys_kaiseri,West_Nile_virus
Aethomys_kaiseri,Witwatersrand_virus
Aethomys_namaquensis,Crimean-Congo_hemorrhagic_fever_virus
Aethomys_namaquensis,Rift_Valley_fever_virus
Ailurus_fulgens,Cowpox_virus
Ailurus_fulgens,West_Nile_virus
Akodon_azarae,Andes_virus
Akodon_azarae,Argentine _hemorrhagic _fever
Akodon_azarae,Junin_virus
Akodon_azarae,Oliveros_virus
Akodon_azarae,Pixuna_virus
Akodon_cursor,PREDICT_MAstV-10
Akodon_cursor,PREDICT_MAstV-10
Akodon_cursor,PREDICT_MAstV-10
Akodon_montensis,Andes_virus
Akodon_montensis,St._Louis_encephalitis_virus
Akodon_paranaensis,Andes_virus
Akodon_simulator,Andes_virus
Akodon_simulator,Laguna_Negra_virus
Akodon_varius,Andes_virus
Alcelaphus_buselaphus,Akabane_virus
Alcelaphus_buselaphus,Alcelaphine_herpesvirus_2
Alcelaphus_buselaphus,Bhanja_virus
Alcelaphus_buselaphus,Bluetongue_virus
Alcelaphus_buselaphus,Bovine_viral_diarrhea_virus_1
Alcelaphus_buselaphus,Crimean-Congo_hemorrhagic_fever_virus
Alcelaphus_buselaphus,Foot-and-mouth_disease_virus
Alcelaphus_buselaphus,Ovine_herpesvirus_2
Alcelaphus_buselaphus,Zika_virus
Alces_alces,Bovine_herpesvirus_1
Alces_alces,Bovine_viral_diarrhea_virus_1
Alces_alces,European_elk_papillomavirus
Alces_alces,Foot-and-mouth_disease_virus
Alces_alces,Ovine_herpesvirus_2
Alces_alces,St._Louis_encephalitis_virus
Alces_alces,Vesicular_stomatitis_Indiana_virus
Alces_americanus,Jamestown _Canyon
Allactaga_williamsi,Crimean-Congo_hemorrhagic_fever_virus
Allenopithecus_nigroviridis,Monkeypox_virus
Allenopithecus_nigroviridis,Simian _retrovirus _type _D
Allenopithecus_nigroviridis,Simian_foamy_virus
Allenopithecus_nigroviridis,Simian_immunodeficiency_virus
Allenopithecus_nigroviridis,Papiine Herpesvirus 1
Alouatta_belzebul,Bussuquara
Alouatta_belzebul,Filovirus
Alouatta_caraya,Filovirus
Alouatta_caraya,St._Louis_encephalitis_virus
Alouatta_caraya,Una_virus
Alouatta_caraya,Yellow_fever_virus
Alouatta_guariba,Filovirus
Alouatta_guariba,Yellow_fever_virus
Alouatta_palliata,Filovirus
Alouatta_palliata,Vesicular_stomatitis_Indiana_virus
Alouatta_palliata,Yellow_fever_virus
Alouatta_pigra,Filovirus
Alouatta_pigra,St._Louis_encephalitis_virus
Alouatta_pigra,Vesicular_stomatitis_Indiana_virus
Alouatta_sara,Yellow_fever_virus
Alouatta_sara,Yellow_fever_virus
Alouatta_seniculus,Filovirus
Alouatta_seniculus,Mayaro_virus
Alouatta_seniculus,Yellow_fever_virus
Ammospermophilus_nelsoni,Modoc_virus
Ammospermophilus_nelsoni,St._Louis_encephalitis_virus
Ammospermophilus_nelsoni,Western_equine_encephalitis_virus
Ammotragus_lervia,Bluetongue_virus
Ammotragus_lervia,Bovine_herpesvirus_1
Anomalurus_derbianus,Riston _Ebola
Anomalurus_derbianus,Zaire_ebolavirus
Anoura_caudifer,Araraquara
Anoura_caudifer,Rabies_virus
Anoura_caudifer,PREDICT_AdV-16
Anoura_caudifer,PREDICT_AdV-16
Anoura_caudifer,PREDICT_CoV-12
Anoura_caudifer,PREDICT_CoV-12
Anoura_caudifer,PREDICT_CoV-12
Anoura_caudifer,PREDICT_CoV-12
Anoura_caudifer,PREDICT_MAstV-9
Anoura_geoffroyi,Bimiti_virus
Anoura_geoffroyi,Catu_virus
Anoura_geoffroyi,Dengue_virus
Anoura_geoffroyi,Guama_virus
Anoura_geoffroyi,Ilheus_virus
Anoura_geoffroyi,Rabies_virus
Anoura_geoffroyi,Rio_Bravo_virus
Anoura_geoffroyi,St._Louis_encephalitis_virus
Anoura_geoffroyi,Tamana_bat_virus
Antidorcas_marsupialis,Bovine_viral_diarrhea_virus_1
Antidorcas_marsupialis,Crimean-Congo_hemorrhagic_fever_virus
Antidorcas_marsupialis,Foot-and-mouth_disease_virus
Antidorcas_marsupialis,Lumpy_skin_disease_virus
Antidorcas_marsupialis,Rift_Valley_fever_virus
Antilocapra_americana,Bluetongue_virus
Antilocapra_americana,Bovine_parainfluenza_virus_3
Antilocapra_americana,Bovine_viral_diarrhea_virus_1
Antilocapra_americana,Epizootic_hemorrhagic_disease_virus
Antilocapra_americana,St._Louis_encephalitis_virus
Antilocapra_americana,Vesicular_stomatitis_Indiana_virus
Antilope_cervicapra,Bluetongue_virus
Antilope_cervicapra,Epizootic_hemorrhagic_disease_virus
Antilope_cervicapra,Foot-and-mouth_disease_virus
Antrozous_pallidus,Rabies_virus
Aotus_nigriceps,Filovirus
Aotus_trivirgatus,Encephalomyocarditis_virus
Aotus_trivirgatus,Filovirus
Aotus_trivirgatus,GB_virus_A
Aotus_trivirgatus,GB_virus_B
Aotus_trivirgatus,Hepatitis_A_virus
Aotus_trivirgatus,Hepatitis_A_virus
Aotus_trivirgatus,Torque_Teno_virus
Aotus_trivirgatus,Vesicular_stomatitis_Indiana_virus
Aotus_trivirgatus,Yellow_fever_virus
Apodemus_agrarius,new gammaherpesvirus clade 2
Apodemus_agrarius,California_encephalitis_virus
Apodemus_agrarius,Dobrava-Belgrade_virus
Apodemus_agrarius,Hantaan_virus
Apodemus_agrarius,Lymphocytic_choriomeningitis_virus
Apodemus_agrarius,Seoul_virus
Apodemus_agrarius,Tick-borne_encephalitis_virus
Apodemus_agrarius,Tula_virus
Apodemus_argenteus,Apoi_virus
Apodemus_chevrieri,Corona
Apodemus_flavicollis,Apodemus flavicolus CMV3
Apodemus_flavicollis,Cowpox_virus
Apodemus_flavicollis,Dobrava-Belgrade_virus
Apodemus_flavicollis,Ljungan_virus
Apodemus_flavicollis,Lymphocytic_choriomeningitis_virus
Apodemus_flavicollis,Murid_herpesvirus_1
Apodemus_flavicollis,Murid_herpesvirus_2
Apodemus_flavicollis,Murid_herpesvirus_4
Apodemus_flavicollis,Puumala_virus
Apodemus_flavicollis,Thiafora_virus
Apodemus_flavicollis,Tick-borne_encephalitis_virus
Apodemus_flavicollis,Tula_virus
Apodemus_latronum,China/YN06_Hantavirus
Apodemus_mystacinus,Lymphocytic_choriomeningitis_virus
Apodemus_pallipes,Tick-borne_encephalitis_virus
Apodemus_peninsulae,Amur
Apodemus_peninsulae,Hantaan_virus
Apodemus_speciosus,Apoi_virus
Apodemus_sylvaticus,Bhanja_virus
Apodemus_sylvaticus,California_encephalitis_virus
Apodemus_sylvaticus,Cowpox_virus
Apodemus_sylvaticus,Dobrava-Belgrade_virus
Apodemus_sylvaticus,Ectromelia_virus
Apodemus_sylvaticus,Encephalomyocarditis_virus
Apodemus_sylvaticus,Eyach_virus
Apodemus_sylvaticus,Ljungan_virus
Apodemus_sylvaticus,Louping_ill_virus
Apodemus_sylvaticus,Lymphocytic_choriomeningitis_virus
Apodemus_sylvaticus,Murid_herpesvirus_1
Apodemus_sylvaticus,Murid_herpesvirus_2
Apodemus_sylvaticus,Murid_herpesvirus_4
Apodemus_sylvaticus,Murine_norovirus_1
Apodemus_sylvaticus,Murine_pneumonia_virus
Apodemus_sylvaticus,Rabbit_hemorrhagic_disease_virus
Apodemus_sylvaticus,Sendai_virus
Apodemus_sylvaticus,Tahyna
Apodemus_sylvaticus,Theilovirus
Apodemus_sylvaticus,Thiafora_virus
Apodemus_sylvaticus,Tick-borne_encephalitis_virus
Apodemus_sylvaticus,Uukuniemi_virus
Apodemus_sylvaticus,West_Nile_virus
Apodemus_sylvaticus,PREDICT_MAstV-116
Apodemus_sylvaticus,PREDICT_MAstV-129
Apodemus_uralensis,Tula_virus
Arctocephalus_australis,Influenza_A_virus
Arctonyx_collaris,Severe_acute_respiratory_syndrome-related_coronavirus
Artibeus_cinereus,Dengue_virus
Artibeus_cinereus,Ilheus_virus
Artibeus_cinereus,Rabies_virus
Artibeus_cinereus,Yellow_fever_virus
Artibeus_fimbriatus,Rabies_virus
Artibeus_jamaicensis,Aj-BtPV-1
Artibeus_jamaicensis,Dengue_virus
Artibeus_jamaicensis,Eastern_equine_encephalitis_virus
Artibeus_jamaicensis,Ilheus_virus
Artibeus_jamaicensis,Marituba_virus
Artibeus_jamaicensis,Nepuyo
Artibeus_jamaicensis,Rabies_virus
Artibeus_jamaicensis,Rio_Bravo_virus
Artibeus_jamaicensis,St._Louis_encephalitis_virus
Artibeus_jamaicensis,Tacaribe_virus
Artibeus_jamaicensis,Tamana_bat_virus
Artibeus_jamaicensis,Venezuelan_equine_encephalitis_virus
Artibeus_jamaicensis,Vesicular_stomatitis_Indiana_virus
Artibeus_jamaicensis,Vesicular_stomatitis_New_Jersey_virus
Artibeus_jamaicensis,Western_equine_encephalitis_virus
Artibeus_jamaicensis,Yellow_fever_virus
Artibeus_jamaicensis,PREDICT_CoV-4
Artibeus_jamaicensis,PREDICT_CoV-5
Artibeus_jamaicensis,PREDICT_CoV-5
Artibeus_jamaicensis,PREDICT_CoV-5
Artibeus_jamaicensis,PREDICT_CoV-5
Artibeus_lituratus,Caraparu_virus
Artibeus_lituratus,Dengue_virus
Artibeus_lituratus,Eastern_equine_encephalitis_virus
Artibeus_lituratus,Guama_virus
Artibeus_lituratus,Ilheus_virus
Artibeus_lituratus,Itaporanga_virus
Artibeus_lituratus,Jurona_virus
Artibeus_lituratus,Marituba_virus
Artibeus_lituratus,Oriboca_virus
Artibeus_lituratus,Oropouche_virus
Artibeus_lituratus,Rabies_virus
Artibeus_lituratus,Rio_Bravo_virus
Artibeus_lituratus,St._Louis_encephalitis_virus
Artibeus_lituratus,Tacaribe_virus
Artibeus_lituratus,Venezuelan_equine_encephalitis_virus
Artibeus_lituratus,Vesicular_stomatitis_Indiana_virus
Artibeus_lituratus,Western_equine_encephalitis_virus
Artibeus_lituratus,Yellow_fever_virus
Artibeus_lituratus,PREDICT_CoV-11
Artibeus_lituratus,PREDICT_CoV-15
Artibeus_lituratus,PREDICT_CoV-15
Artibeus_lituratus,PREDICT_CoV-5
Artibeus_lituratus,PREDICT_CoV-5
Artibeus_lituratus,PREDICT_MAstV-7
Artibeus_lituratus,PREDICT_PMV-45
Artibeus_obscurus,"Influenza A, subtype H18N11"
Artibeus_obscurus,Juquitiba _virus
Artibeus_obscurus,PREDICT_AdV-13
Artibeus_obscurus,PREDICT_CoV-11
Artibeus_obscurus,PREDICT_HV-74
Artibeus_obscurus,PREDICT_HV-77
Artibeus_planirostris,Influenza_A_virus
Artibeus_planirostris,Rabies_virus
Artibeus_planirostris,PREDICT_CoV-4
Arvicanthis_neumanni,Ippy_virus
Arvicanthis_niloticus,Arumowot_virus
Arvicanthis_niloticus,Bhanja_virus
Arvicanthis_niloticus,Bunyamwera_virus
Arvicanthis_niloticus,Crimean-Congo_hemorrhagic_fever_virus
Arvicanthis_niloticus,Ife_virus
Arvicanthis_niloticus,Ippy_virus
Arvicanthis_niloticus,Lassa_virus
Arvicanthis_niloticus,Qalyub_virus
Arvicanthis_niloticus,Rift_Valley_fever_virus
Arvicanthis_niloticus,Saboya_virus
Arvicanthis_niloticus,Uganda_S_virus
Arvicanthis_niloticus,West_Nile_virus
Arvicanthis_niloticus,Witwatersrand_virus
Arvicanthis_niloticus,PREDICT_PMV-143
Arvicanthis_niloticus,PREDICT_PMV-172
Arvicola_amphibius,new betaherpesvirus clade 4
Arvicola_amphibius,Omsk_hemorrhagic_fever_virus
Arvicola_amphibius,Tula_virus
Arvicola_scherman,Cowpox_virus
Arvicola_scherman,Lymphocytic_choriomeningitis_virus
Aselliscus_stoliczkanus,bat astroviruses
Aselliscus_stoliczkanus,Corona
Aselliscus_stoliczkanus,RVA/Bat-tc/MYAS33
Aselliscus_stoliczkanus,Bat Coronavirus HKU10
Aselliscus_stoliczkanus,Bat coronavirus HKU2
Aselliscus_stoliczkanus,Hipposideros_Bat_Alphacoronavirus_ MJ/67C
Aselliscus_stoliczkanus,Hipposideros_Bat_Alphacoronavirus_ MJ/67C
Aselliscus_stoliczkanus,Hipposideros_Bat_Alphacoronavirus_ MJ/67C
Aselliscus_stoliczkanus,Hipposideros_Bat_Alphacoronavirus_ MJ/67C
Aselliscus_stoliczkanus,Hipposideros_Bat_Alphacoronavirus_ MJ/67C
Aselliscus_stoliczkanus,PREDICT_PMV-135
Aselliscus_stoliczkanus,PREDICT_PMV-164
Atelerix_albiventris,Bhanja_virus
Atelerix_albiventris,Chandipura_virus
Atelerix_albiventris,Crimean-Congo_hemorrhagic_fever_virus
Atelerix_albiventris,Kotonkan_virus
Atelerix_albiventris,Semliki_Forest_virus
Ateles_geoffroyi,Ateline_herpesvirus_1
Ateles_geoffroyi,Ateline_herpesvirus_2
Ateles_geoffroyi,Filovirus
Ateles_paniscus,Filovirus
Ateles_paniscus,St._Louis_encephalitis_virus
Atilax_paludinosus,Rabies_virus
Axis_axis,Bluetongue_virus
Axis_axis,Epizootic_hemorrhagic_disease_virus
Axis_axis,Foot-and-mouth_disease_virus
Babyrousa_babyrussa,Foot-and-mouth_disease_virus
Baiomys_taylori,Amapari_virus
Baiomys_taylori,Bayou_virus
Baiomys_taylori,Vesicular_stomatitis_Indiana_virus
Baiomys_taylori,Whitewater_Arroyo_virus
Balaenoptera_acutorostrata,Influenza_A_virus
Balaenoptera_borealis,Vesicular_exanthema_of_swine_virus
Balaenoptera_physalus,morbillivirus
Balaenoptera_physalus,Vesicular_exanthema_of_swine_virus
Balionycteris_maculata,PREDICT_MAstV-174
Bandicota_bengalensis,Hepatitis_E_virus
Bandicota_bengalensis,Longquan Aa mouse coronavirus
Bandicota_bengalensis,Murine coronavirus
Bandicota_bengalensis,PREDICT_AdV-83
Bandicota_bengalensis,PREDICT_AdV-90
Bandicota_bengalensis,PREDICT_AdV-90
Bandicota_bengalensis,PREDICT_MAstV-206
Bandicota_indica,new gammaherpesvirus clade 2
Bandicota_indica,Lassa_virus
Bandicota_indica,Murid_herpesvirus_2
Bandicota_indica,Murid_herpesvirus_4
Bandicota_indica,Thailand_virus
Bandicota_indica,Longquan Aa mouse coronavirus
Bandicota_indica,Longquan Aa mouse coronavirus
Bandicota_indica,Longquan Aa mouse coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,Murine coronavirus
Bandicota_indica,PREDICT_AdV-83
Bandicota_indica,PREDICT_AdV-89
Bandicota_indica,PREDICT_AdV-90
Bandicota_savilei,new gammaherpesvirus clade 2
Bandicota_savilei,Lassa_virus
Bandicota_savilei,Thailand_virus
Barbastella_barbastellus,European_bat_lyssavirus_1
Barbastella_barbastellus,Tick-borne_encephalitis_virus
Bassaricyon_gabbii,Vesicular_stomatitis_Indiana_virus
Bassariscus_astutus,Rabies_virus
Bauerus_dubiaquercus,PREDICT_CoV-1
Bauerus_dubiaquercus,PREDICT_CoV-5
Berylmys_bowersi,Longquan Aa mouse coronavirus
Bibimys_chacoensis,Andes_virus
Bison_bison,Bluetongue_virus
Bison_bison,Bovine_respiratory_syncytial_virus
Bison_bison,Bovine_viral_diarrhea_virus_1
Bison_bison,California_encephalitis_virus
Bison_bison,Epizootic_hemorrhagic_disease_virus
Bison_bison,Foot-and-mouth_disease_virus
Bison_bison,Malignant _catarrhal _fever
Bison_bison,Ovine_herpesvirus_2
Bison_bison,Sindbis_virus
Bison_bonasus,Bovine_herpesvirus_1
Bison_bonasus,Bovine_viral_diarrhea_virus_1
Bison_bonasus,Foot-and-mouth_disease_virus
Blastocerus_dichotomus,Foot-and-mouth_disease_virus
Bos_gaurus,Foot-and-mouth_disease_virus
Bos_gaurus,Ovine_herpesvirus_2
Bos_gaurus,Rinderpest_virus
Bos_grunniens,Corona
Bos_javanicus,Bovine_immunodeficiency_virus
Bos_javanicus,Ovine_herpesvirus_2
Bos_mutus,Bovine_herpesvirus_1
Bos_mutus,Bovine_papillomavirus_1
