Order,Species Name,Trade,Highly traded,Category,Total virus richness,Non zoonotic virus richness,Zoono virus richness
CETARTIODACTYLA,Alces alces,Prod,,Domestic,7,4,3
CETARTIODACTYLA,Axis axis,Prod,,Domestic,3,2,1
CETARTIODACTYLA,Bos frontalis,,,Domestic,2,0,2
CETARTIODACTYLA,Bos grunniens,,,Domestic,1,0,1
CETARTIODACTYLA,Bos javanicus,,,Domestic,2,2,0
CETARTIODACTYLA,Bos taurus,,,Domestic,97,46,51
CETARTIODACTYLA,Boselaphus tragocamelus,"Pet, Prod",Y,Domestic,1,0,1
CETARTIODACTYLA,Bubalus bubalis,,,Domestic,22,10,12
CETARTIODACTYLA,Camelus bactrianus,,,Domestic,2,0,2
CETARTIODACTYLA,Camelus dromedarius,,,Domestic,27,7,20
CARNIVORA,Canis familiaris,,,Domestic,27,5,22
CARNIVORA,Canis lupus familiaris,,,Domestic,26,4,22
CETARTIODACTYLA,Capra hircus,,,Domestic,34,19,15
RODENTIA,Cavia porcellus,,,Domestic,9,7,2
CETARTIODACTYLA,Cervus elaphus,"Pet, Prod",,Domestic,16,11,5
CETARTIODACTYLA,Cervus nippon,Prod,,Domestic,5,3,2
RODENTIA,Cricetomys gambianus,Pet,,Domestic,6,3,3
CETARTIODACTYLA,Dama dama,"Pet, Prod",,Domestic,9,7,2
PROBOSCIDEA,Elephas maximus,"Pet, Prod",Y,Domestic,6,2,4
CETARTIODACTYLA,Equus africanus,,,Domestic,6,0,6
CETARTIODACTYLA,Equus asinus,,,Domestic,14,7,7
CETARTIODACTYLA,Equus caballus,,,Domestic,59,27,32
CETARTIODACTYLA,Equus ferus,,,Domestic,29,1,28
CARNIVORA,Felis catus,,,Domestic,28,7,21
RODENTIA,Hydrochoerus hydrochaeris,Prod,,Domestic,2,0,2
CETARTIODACTYLA,Lama glama,,,Domestic,9,0,9
CETARTIODACTYLA,Lama pacos,,,Domestic,3,1,2
RODENTIA,Mus musculus,,,Domestic,54,32,22
CARNIVORA,Neovison vison,Prod,,Domestic,7,3,4
RODENTIA,Ondatra zibethicus,Prod,,Domestic,5,2,3
LAGOMORPHA,Oryctolagus cuniculus,Prod,,Domestic,10,6,4
CETARTIODACTYLA,Ovis aries,,Y,Domestic,69,29,40
CETARTIODACTYLA,Rangifer tarandus,Prod,,Domestic,13,5,8
RODENTIA,Rattus rattus,,,Domestic,68,48,20
CETARTIODACTYLA,Vicugna pacos,,,Domestic,8,0,8
CETARTIODACTYLA,Vicugna vicugna,,Y,Domestic,2,2,0
Cetartiodactyla,Bos taurus indicus,,,Domestic,1,1,0
RODENTIA,Abrothrix longipilis,,,Nontraded,1,0,1
RODENTIA,Abrothrix olivaceus,,,Nontraded,1,0,1
RODENTIA,Abrothrix sanborni,,,Nontraded,1,0,1
RODENTIA,Acomys cahirinus,,,Nontraded,1,0,1
RODENTIA,Acomys dimidiatus,,,Nontraded,1,0,1
RODENTIA,Aethomys kaiseri,,,Nontraded,2,1,1
RODENTIA,Aethomys namaquensis,,,Nontraded,2,0,2
RODENTIA,Akodon azarae,,,Nontraded,5,1,4
RODENTIA,Akodon cursor,,,Nontraded,3,2,1
RODENTIA,Akodon montensis,,,Nontraded,2,0,2
RODENTIA,Akodon obscurus,,,Nontraded,2,0,2
RODENTIA,Akodon paranaensis,,,Nontraded,1,0,1
RODENTIA,Akodon simulator,,,Nontraded,2,1,1
RODENTIA,Akodon varius,,,Nontraded,1,0,1
CETARTIODACTYLA,Alces americanus,,,Nontraded,1,0,1
RODENTIA,Allactaga williamsi,,,Nontraded,1,0,1
PRIMATES,Alouatta seniculus,,,Nontraded,3,1,2
RODENTIA,Ammospermophilus nelsoni,,,Nontraded,3,0,3
CHIROPTERA,Anoura caudifer,,,Nontraded,9,8,1
CHIROPTERA,Anoura geoffroyi,,,Nontraded,9,2,7
CHIROPTERA,Antrozous pallidus,,,Nontraded,1,0,1
RODENTIA,Apodemus agrarius,,,Nontraded,8,2,6
RODENTIA,Apodemus argenteus,,,Nontraded,1,1,0
RODENTIA,Apodemus chevrieri,,,Nontraded,1,0,1
RODENTIA,Apodemus flavicollis,,,Nontraded,12,4,8
RODENTIA,Apodemus latronum,,,Nontraded,1,1,0
RODENTIA,Apodemus mystacinus,,,Nontraded,1,0,1
RODENTIA,Apodemus pallipes,,,Nontraded,1,0,1
RODENTIA,Apodemus peninsulae,,,Nontraded,2,0,2
RODENTIA,Apodemus speciosus,,,Nontraded,1,1,0
RODENTIA,Apodemus sylvaticus,,,Nontraded,25,10,15
RODENTIA,Apodemus uralensis,,,Nontraded,1,0,1
CHIROPTERA,Artibeus fimbriatus,,,Nontraded,1,0,1
CHIROPTERA,Artibeus jamaicensis,,,Nontraded,21,8,13
CHIROPTERA,Artibeus lituratus,,,Nontraded,25,9,16
CHIROPTERA,Artibeus obscurus,,,Nontraded,6,6,0
CHIROPTERA,Artibeus planirostris,,,Nontraded,3,1,2
RODENTIA,Arvicanthis neumanni,,,Nontraded,1,1,0
RODENTIA,Arvicanthis niloticus,,,Nontraded,15,9,6
RODENTIA,Arvicola amphibius,,,Nontraded,3,1,2
RODENTIA,Arvicola scherman,,,Nontraded,2,0,2
CHIROPTERA,Aselliscus stoliczkanus,,,Nontraded,12,11,1
EULIPOTYPHLA,Atelerix albiventris,,,Nontraded,5,0,5
RODENTIA,Baiomys taylori,,,Nontraded,4,1,3
CETARTIODACTYLA,Balaenoptera acutorostrata,,,Nontraded,1,0,1
CETARTIODACTYLA,Balaenoptera borealis,,,Nontraded,1,1,0
CETARTIODACTYLA,Balaenoptera physalus,,,Nontraded,2,2,0
CHIROPTERA,Balionycteris maculata,,,Nontraded,1,1,0
RODENTIA,Bandicota bengalensis,,,Nontraded,7,6,1
RODENTIA,Bandicota indica,,,Nontraded,23,21,2
CHIROPTERA,Barbastella barbastellus,,,Nontraded,2,0,2
CHIROPTERA,Bauerus dubiaquercus,,,Nontraded,2,2,0
RODENTIA,Bibimys chacoensis,,,Nontraded,1,0,1
CINGULATA,Cabassous centralis,,,Nontraded,1,0,1
CARNIVORA,Callicebus oenanthe,,,Nontraded,1,1,0
CARNIVORA,Callorhinus ursinus,,,Nontraded,1,1,0
RODENTIA,Callosciurus finlaysonii,,,Nontraded,1,1,0
RODENTIA,Callosciurus notatus,,,Nontraded,4,4,0
RODENTIA,Callospermophilus lateralis,,,Nontraded,1,0,1
RODENTIA,Calomys callosus,,,Nontraded,6,2,4
RODENTIA,Calomys laucha,,,Nontraded,3,1,2
RODENTIA,Calomys musculinus,,,Nontraded,3,1,2
RODENTIA,Calomys tener,,,Nontraded,2,1,1
DIDELPHIMORPHIA,Caluromys derbianus,,,Nontraded,1,0,1
DIDELPHIMORPHIA,Caluromys philander,,,Nontraded,4,0,4
CHIROPTERA,Carollia brevicauda,,,Nontraded,3,0,3
CHIROPTERA,Carollia perspicillata,,,Nontraded,43,31,12
CHIROPTERA,Carollia sowelli,,,Nontraded,11,11,0
CHIROPTERA,Carollia subrufa,,,Nontraded,2,1,1
PRIMATE,Cercopithecus kandti,,,Nontraded,8,8,0
PRIMATES,Cercopithecus preussi,,,Nontraded,15,15,0
PRIMATES,Cercopithecus solatus,,,Nontraded,2,1,1
PRIMATE,Cercopithecus wolfi,,,Nontraded,8,8,0
Chiroptera,Chaerephon plicatus,,,Nontraded,48,47,1
RODENTIA,Chaetodipus hispidus,,,Nontraded,1,0,1
RODENTIA,Chaetodipus spinatus,,,Nontraded,1,0,1
CINGULATA,Chaetophractus vellerosus,,,Nontraded,2,0,2
RODENTIA,Chionomys roberti,,,Nontraded,1,0,1
PILOSA,Choloepus hoffmanni,,Y,Nontraded,4,0,4
CHIROPTERA,Chrotopterus auritus,,,Nontraded,1,0,1
RODENTIA,Coendou melanurus,,,Nontraded,1,0,1
RODENTIA,Coendou rothschildi,,,Nontraded,1,0,1
CHIROPTERA,Coleura afra,,,Nontraded,8,8,0
CHIROPTERA,Corynorhinus townsendii,,,Nontraded,1,0,1
CHIROPTERA,Craseonycteris thonglongyai,,,Nontraded,1,0,1
EULIPOTYPHLA,Crocidura attenuata,,,Nontraded,3,3,0
EULIPOTYPHLA,Crocidura goliath,,,Nontraded,6,6,0
EULIPOTYPHLA,Crocidura leucodon,,,Nontraded,1,0,1
EULIPOTYPHLA,Crocidura montis,,,Nontraded,1,1,0
EULIPOTYPHLA,Crocidura olivieri,,,Nontraded,16,16,0
EULIPOTYPHLA,Crocidura russula,,,Nontraded,1,0,1
RODENTIA,Ctenodactylus gundi,,,Nontraded,1,0,1
CARNIVORA,Cynictis penicillata,,,Nontraded,1,0,1
CHIROPTERA,Cynomops abrasus,,,Nontraded,1,0,1
CHIROPTERA,Cynomops planirostris,,,Nontraded,1,0,1
CHIROPTERA,Cynopterus brachyotis,,,Nontraded,23,18,5
CHIROPTERA,Cynopterus horsfieldii,,,Nontraded,3,3,0
CARNIVORA,Cystophora cristata,,,Nontraded,4,2,2
RODENTIA,Dasymys incomtus,,,Nontraded,3,1,2
RODENTIA,Dasymys rufulus,,,Nontraded,6,6,0
RODENTIA,Dasyprocta punctata,,Y,Nontraded,2,0,2
DASYUROMORPHIA,Dasyurus geoffroii,,,Nontraded,1,0,1
CETARTIODACTYLA,Delphinus delphis,,,Nontraded,1,1,0
RODENTIA,Deomys ferrugineus,,,Nontraded,1,1,0
RODENTIA,Dephomys defua,,,Nontraded,1,1,0
Chiroptera,Dermanura cinereus,,,Nontraded,4,0,4
CHIROPTERA,Dermanura phaeotis,,,Nontraded,10,4,6
CHIROPTERA,Dermanura toltecus,,,Nontraded,2,0,2
RODENTIA,Desmodillus auricularis,,,Nontraded,1,0,1
CHIROPTERA,Desmodus rotundus,,,Nontraded,11,2,9
CHIROPTERA,Diaemus youngi,,,Nontraded,1,0,1
CHIROPTERA,Diclidurus albus,,,Nontraded,1,0,1
DIDELPHIMORPHIA,Didelphis albiventris,,,Nontraded,1,0,1
CHIROPTERA,Diphylla ecaudata,,,Nontraded,2,1,1
RODENTIA,Diplomys labilis,,,Nontraded,1,0,1
RODENTIA,Dipodomys heermanni,,,Nontraded,2,0,2
RODENTIA,Dipodomys merriami,,,Nontraded,1,0,1
RODENTIA,Dipodomys nitratoides,,,Nontraded,2,0,2
DIPROTODONTIA,Dorcopsis muelleri,,,Nontraded,1,1,0
CHIROPTERA,Dyacopterus spadiceus,,,Nontraded,2,2,0
EULIPOTYPHLA,Echinosorex gymnura,,,Nontraded,2,2,0
RODENTIA,Eothenomys cachinus,,,Nontraded,54,54,0
RODENTIA,Eothenomys miletus,,,Nontraded,1,1,0
CHIROPTERA,Epomops dobsonii,,,Nontraded,1,1,0
CHIROPTERA,Eptesicus brasiliensis,,,Nontraded,1,0,1
CHIROPTERA,Eptesicus diminutus,,,Nontraded,1,0,1
CHIROPTERA,Eptesicus furinalis,,,Nontraded,1,0,1
CHIROPTERA,Eptesicus fuscus,,,Nontraded,9,4,5
CHIROPTERA,Eptesicus serotinus,,,Nontraded,5,2,3
EULIPOTYPHLA,Erinaceus amurensis,,,Nontraded,1,0,1
EULIPOTYPHLA,Erinaceus concolor,,,Nontraded,1,0,1
EULIPOTYPHLA,Erinaceus europaeus,,,Nontraded,1,0,1
EULIPOTYPHLA,Erinaceus roumanicus,,,Nontraded,1,0,1
CETARTIODACTYLA,Eschrichtius robustus,,,Nontraded,1,1,0
CHIROPTERA,Euderma maculatum,,,Nontraded,1,0,1
CARNIVORA,Eumetopias jubatus,,,Nontraded,2,1,1
